,PPO
0,14.79941088
1,21.31355464
2,25.954822
3,38.32420194
4,11.97426341
5,14.61929344
6,1.846796164
7,6.82114352
8,2.66409872
9,4.823258006
10,1.621020914
11,5.441197071
12,8.306977885
13,29.77936896
14,26.12954298
15,5.908459216
16,5.752319064
17,4.907709998
18,2.801729437
19,10.80105839
20,22.02008317
21,11.10742113
22,5.668195881
23,2.709244973
24,38.32763407
25,1.935685053
26,6.222700809
27,10.44631341
28,2.201576517
29,5.754933971
30,4.645864113
31,1.869018386
32,38.94660194
33,8.892308681
34,4.129779576
35,34.64409881
36,36.62112603
37,21.5295014
38,6.845973511
39,5.931737536
40,35.01991322
41,36.99519178
42,37.23902135
43,35.93348109
44,26.97942895
45,26.15159174
46,19.11186071
47,19.89056566
48,28.73090369
49,1.91346283
50,3.152261691
51,19.86684866
52,16.09005068
53,5.268258082
54,4.913118245
55,15.99467123
56,9.402353174
57,4.597694354
58,24.24319836
59,18.48463379
60,2.690156111
61,36.92701768
62,10.3539968
63,10.9365221
64,5.448485644
65,1.709823036
66,35.97795449
67,13.66821196
68,14.22305135
69,3.713422733
70,9.421634849
71,36.23964235
72,16.75471279
73,34.63969699
74,35.97249192
75,8.441469323
76,20.4175414
77,10.133684
78,28.08795417
79,5.597693076
80,27.64433917
81,1.754933607
82,12.28680835
83,1.715775034
84,7.820450552
85,10.68490385
86,1.715775034
87,7.331439587
88,11.09320334
89,36.35058417
90,35.32770432
91,36.72964669
92,9.241316645
93,36.17391026
94,4.420347448
95,13.19812845
96,35.46715631
97,22.1804389
98,6.956596505
99,3.511111111
100,1.819667056
101,13.30981611
102,8.289239555
103,9.06195738
104,25.68019679
105,34.3359962
106,4.442403189
107,27.50548437
108,36.28426047
109,9.708402919
110,33.05847546
111,6.890313397
112,34.61928061
113,2.48759999
114,19.54995734
115,35.90693962
116,4.841066794
117,6.159950677
118,1.777777778
119,25.80015055
120,13.10706229
121,34.33129253
122,19.53650995
123,1.269018386
124,6.59799217
125,12.37319743
126,34.57390678
127,4.619870503
128,35.79764456
129,36.10511962
130,35.2412815
131,6.777696709
132,17.06569332
133,34.55640473
134,20.86749898
135,20.5969772
136,8.396394011
137,16.04339664
138,6.843242446
139,37.20064333
140,1.290778475
141,23.91115727
142,34.28595031
143,37.13038985
144,35.08566797
145,34.66375093
146,2.774843291
147,35.55320371
148,14.19417568
149,5.646756762
150,3.262307231
151,8.623321115
152,34.28688783
153,28.64154812
154,34.33009737
155,8.088875223
156,38.7718754
157,30.24254503
158,35.72646053
159,3.349646802
160,37.2873015
161,2.420440256
162,22.93271669
163,36.21717243
164,2.247061136
165,34.79732911
166,12.06372763
167,14.70910936
168,4.666316106
169,36.21809982
170,35.91016984
171,3.756518346
